ky_tu,so_anh_chua,ty_le_anh,tong_so_lan_xuat_hien,ty_le_tan_suat
瀘,19,0.0496%,19,0.0041%
炭,19,0.0496%,19,0.0041%
猷,16,0.0418%,19,0.0041%
盎,19,0.0496%,19,0.0041%
禅,19,0.0496%,19,0.0041%
究,17,0.0444%,19,0.0041%
緒,19,0.0496%,19,0.0041%
耗,17,0.0444%,19,0.0041%
胄,18,0.0470%,19,0.0041%
葉,18,0.0470%,19,0.0041%
蛇,17,0.0444%,19,0.0041%
蜍,19,0.0496%,19,0.0041%
裂,19,0.0496%,19,0.0041%
裙,19,0.0496%,19,0.0041%
諡,19,0.0496%,19,0.0041%
貽,18,0.0470%,19,0.0041%
轎,18,0.0470%,19,0.0041%
遲,19,0.0496%,19,0.0041%
釁,19,0.0496%,19,0.0041%
陟,19,0.0496%,19,0.0041%
鞠,19,0.0496%,19,0.0041%
𠰚,19,0.0496%,19,0.0041%
𠶆,19,0.0496%,19,0.0041%
𡎦,19,0.0496%,19,0.0041%
𡮈,18,0.0470%,19,0.0041%
𢀲,16,0.0418%,19,0.0041%
𢃄,19,0.0496%,19,0.0041%
𢯏,19,0.0496%,19,0.0041%
𤐝,19,0.0496%,19,0.0041%
𤷱,19,0.0496%,19,0.0041%
𧺀,19,0.0496%,19,0.0041%
𨄹,19,0.0496%,19,0.0041%
𫥨,19,0.0496%,19,0.0041%
㝹,14,0.0365%,18,0.0039%
㯀,18,0.0470%,18,0.0039%
乍,18,0.0470%,18,0.0039%
伸,18,0.0470%,18,0.0039%
佯,18,0.0470%,18,0.0039%
俟,18,0.0470%,18,0.0039%
允,18,0.0470%,18,0.0039%
匐,18,0.0470%,18,0.0039%
卞,18,0.0470%,18,0.0039%
含,18,0.0470%,18,0.0039%
均,18,0.0470%,18,0.0039%
契,18,0.0470%,18,0.0039%
奬,18,0.0470%,18,0.0039%
妙,18,0.0470%,18,0.0039%
孽,18,0.0470%,18,0.0039%
寘,18,0.0470%,18,0.0039%
屠,18,0.0470%,18,0.0039%
强,17,0.0444%,18,0.0039%
恣,18,0.0470%,18,0.0039%
批,18,0.0470%,18,0.0039%
挭,18,0.0470%,18,0.0039%
擁,18,0.0470%,18,0.0039%
擄,18,0.0470%,18,0.0039%
攘,18,0.0470%,18,0.0039%
敎,18,0.0470%,18,0.0039%
旁,18,0.0470%,18,0.0039%
晨,18,0.0470%,18,0.0039%
枯,18,0.0470%,18,0.0039%
植,18,0.0470%,18,0.0039%
灘,18,0.0470%,18,0.0039%
灰,18,0.0470%,18,0.0039%
狂,18,0.0470%,18,0.0039%
疲,18,0.0470%,18,0.0039%
盈,18,0.0470%,18,0.0039%
盍,18,0.0470%,18,0.0039%
稽,18,0.0470%,18,0.0039%
穿,17,0.0444%,18,0.0039%
窺,18,0.0470%,18,0.0039%
織,18,0.0470%,18,0.0039%
蔑,18,0.0470%,18,0.0039%
蠲,18,0.0470%,18,0.0039%
裳,18,0.0470%,18,0.0039%
貉,16,0.0418%,18,0.0039%
賑,18,0.0470%,18,0.0039%
趍,18,0.0470%,18,0.0039%
醜,18,0.0470%,18,0.0039%
雹,18,0.0470%,18,0.0039%
頂,18,0.0470%,18,0.0039%
鹹,18,0.0470%,18,0.0039%
𠿯,16,0.0418%,18,0.0039%
𡞕,18,0.0470%,18,0.0039%
𡲤,18,0.0470%,18,0.0039%
𢞂,18,0.0470%,18,0.0039%
𣅘,18,0.0470%,18,0.0039%
𣳮,18,0.0470%,18,0.0039%
𥱬,18,0.0470%,18,0.0039%
𦰤,18,0.0470%,18,0.0039%
𨤮,18,0.0470%,18,0.0039%
𨤰,18,0.0470%,18,0.0039%
𪪳,18,0.0470%,18,0.0039%
𬏝,18,0.0470%,18,0.0039%
󰇥,16,0.0418%,18,0.0039%
󰕛,18,0.0470%,18,0.0039%
󰖥,18,0.0470%,18,0.0039%
󰟁,17,0.0444%,18,0.0039%
㨂,17,0.0444%,17,0.0037%
劣,17,0.0444%,17,0.0037%
卽,17,0.0444%,17,0.0037%
嘱,17,0.0444%,17,0.0037%
囷,17,0.0444%,17,0.0037%
堛,17,0.0444%,17,0.0037%
堡,17,0.0444%,17,0.0037%
孰,17,0.0444%,17,0.0037%
宥,17,0.0444%,17,0.0037%
寓,17,0.0444%,17,0.0037%
屏,17,0.0444%,17,0.0037%
岩,17,0.0444%,17,0.0037%
崖,17,0.0444%,17,0.0037%
彭,15,0.0391%,17,0.0037%
披,17,0.0444%,17,0.0037%
拓,15,0.0391%,17,0.0037%
挾,17,0.0444%,17,0.0037%
捽,17,0.0444%,17,0.0037%
掩,17,0.0444%,17,0.0037%
汀,14,0.0365%,17,0.0037%
滋,17,0.0444%,17,0.0037%
滿,17,0.0444%,17,0.0037%
澍,17,0.0444%,17,0.0037%
澧,17,0.0444%,17,0.0037%
瀛,17,0.0444%,17,0.0037%
狗,17,0.0444%,17,0.0037%
琹,16,0.0418%,17,0.0037%
璿,17,0.0444%,17,0.0037%
畝,13,0.0339%,17,0.0037%
竜,17,0.0444%,17,0.0037%
箋,17,0.0444%,17,0.0037%
肯,17,0.0444%,17,0.0037%
膺,17,0.0444%,17,0.0037%
臂,17,0.0444%,17,0.0037%
臚,17,0.0444%,17,0.0037%
苗,17,0.0444%,17,0.0037%
莪,15,0.0391%,17,0.0037%
萊,17,0.0444%,17,0.0037%
蚕,17,0.0444%,17,0.0037%
誦,17,0.0444%,17,0.0037%
誨,17,0.0444%,17,0.0037%
谷,17,0.0444%,17,0.0037%
适,17,0.0444%,17,0.0037%
釆,17,0.0444%,17,0.0037%
闊,16,0.0418%,17,0.0037%
雙,15,0.0391%,17,0.0037%
騏,17,0.0444%,17,0.0037%
鵠,17,0.0444%,17,0.0037%
鷟,17,0.0444%,17,0.0037%
𠃣,17,0.0444%,17,0.0037%
𠃩,17,0.0444%,17,0.0037%
𠻀,17,0.0444%,17,0.0037%
𢚁,17,0.0444%,17,0.0037%
𢭸,17,0.0444%,17,0.0037%
𢼂,17,0.0444%,17,0.0037%
𩖀,14,0.0365%,17,0.0037%
󰠩,17,0.0444%,17,0.0037%
󱀄,17,0.0444%,17,0.0037%
伊,16,0.0418%,16,0.0035%
伵,16,0.0418%,16,0.0035%
冐,16,0.0418%,16,0.0035%
函,11,0.0287%,16,0.0035%
刊,16,0.0418%,16,0.0035%
参,16,0.0418%,16,0.0035%
哏,16,0.0418%,16,0.0035%
唯,16,0.0418%,16,0.0035%
喭,16,0.0418%,16,0.0035%
声,16,0.0418%,16,0.0035%
妖,15,0.0391%,16,0.0035%
妯,16,0.0418%,16,0.0035%
娟,16,0.0418%,16,0.0035%
娠,16,0.0418%,16,0.0035%
慤,14,0.0365%,16,0.0035%
憚,16,0.0418%,16,0.0035%
懋,16,0.0418%,16,0.0035%
抄,16,0.0418%,16,0.0035%
抗,16,0.0418%,16,0.0035%
挈,16,0.0418%,16,0.0035%
樁,16,0.0418%,16,0.0035%
歴,16,0.0418%,16,0.0035%
淬,16,0.0418%,16,0.0035%
渭,16,0.0418%,16,0.0035%
疫,16,0.0418%,16,0.0035%
禀,16,0.0418%,16,0.0035%
穴,16,0.0418%,16,0.0035%
綵,16,0.0418%,16,0.0035%
綸,16,0.0418%,16,0.0035%
緘,16,0.0418%,16,0.0035%
膽,15,0.0391%,16,0.0035%
舒,16,0.0418%,16,0.0035%
葵,16,0.0418%,16,0.0035%
蓄,16,0.0418%,16,0.0035%
蟠,16,0.0418%,16,0.0035%
詭,15,0.0391%,16,0.0035%
詰,16,0.0418%,16,0.0035%
邸,16,0.0418%,16,0.0035%
鄒,15,0.0391%,16,0.0035%
醯,14,0.0365%,16,0.0035%
采,16,0.0418%,16,0.0035%
鉦,15,0.0391%,16,0.0035%
隷,16,0.0418%,16,0.0035%
餒,16,0.0418%,16,0.0035%
餓,16,0.0418%,16,0.0035%
騰,16,0.0418%,16,0.0035%
齡,14,0.0365%,16,0.0035%
𡳳,16,0.0418%,16,0.0035%
𡴯,16,0.0418%,16,0.0035%
𡶀,16,0.0418%,16,0.0035%
𢗼,14,0.0365%,16,0.0035%
𢘾,16,0.0418%,16,0.0035%
𣷷,16,0.0418%,16,0.0035%
𣾺,16,0.0418%,16,0.0035%
𤋵,16,0.0418%,16,0.0035%
𦧘,16,0.0418%,16,0.0035%
𩂏,16,0.0418%,16,0.0035%
𩢬,16,0.0418%,16,0.0035%
𫽻,16,0.0418%,16,0.0035%
󰰻,16,0.0418%,16,0.0035%
䖏,15,0.0391%,15,0.0033%
乳,15,0.0391%,15,0.0033%
互,15,0.0391%,15,0.0033%
仇,15,0.0391%,15,0.0033%
侶,15,0.0391%,15,0.0033%
借,15,0.0391%,15,0.0033%
凭,15,0.0391%,15,0.0033%
募,15,0.0391%,15,0.0033%
单,15,0.0391%,15,0.0033%
吊,15,0.0391%,15,0.0033%
單,15,0.0391%,15,0.0033%
嗜,15,0.0391%,15,0.0033%
塢,15,0.0391%,15,0.0033%
墙,15,0.0391%,15,0.0033%
壻,13,0.0339%,15,0.0033%
奄,15,0.0391%,15,0.0033%
姬,15,0.0391%,15,0.0033%
嬰,15,0.0391%,15,0.0033%
完,15,0.0391%,15,0.0033%
寢,15,0.0391%,15,0.0033%
岑,14,0.0365%,15,0.0033%
廛,12,0.0313%,15,0.0033%
徧,15,0.0391%,15,0.0033%
悌,14,0.0365%,15,0.0033%
懦,15,0.0391%,15,0.0033%
戍,15,0.0391%,15,0.0033%
扞,15,0.0391%,15,0.0033%
扽,15,0.0391%,15,0.0033%
拠,15,0.0391%,15,0.0033%
揭,15,0.0391%,15,0.0033%
摧,15,0.0391%,15,0.0033%
摱,15,0.0391%,15,0.0033%
撿,15,0.0391%,15,0.0033%
擛,15,0.0391%,15,0.0033%
晝,15,0.0391%,15,0.0033%
曠,15,0.0391%,15,0.0033%
曷,15,0.0391%,15,0.0033%
杲,14,0.0365%,15,0.0033%
枉,15,0.0391%,15,0.0033%
枝,15,0.0391%,15,0.0033%
柞,15,0.0391%,15,0.0033%
桐,15,0.0391%,15,0.0033%
梭,15,0.0391%,15,0.0033%
槃,15,0.0391%,15,0.0033%
標,15,0.0391%,15,0.0033%
樵,15,0.0391%,15,0.0033%
殄,15,0.0391%,15,0.0033%
残,15,0.0391%,15,0.0033%
汪,15,0.0391%,15,0.0033%
沆,15,0.0391%,15,0.0033%
沮,15,0.0391%,15,0.0033%
渠,14,0.0365%,15,0.0033%
漕,14,0.0365%,15,0.0033%
濯,14,0.0365%,15,0.0033%
煚,13,0.0339%,15,0.0033%
狹,15,0.0391%,15,0.0033%
瑜,14,0.0365%,15,0.0033%
瑤,15,0.0391%,15,0.0033%
疸,15,0.0391%,15,0.0033%
的,15,0.0391%,15,0.0033%
矧,15,0.0391%,15,0.0033%
粤,15,0.0391%,15,0.0033%
糊,15,0.0391%,15,0.0033%
紆,15,0.0391%,15,0.0033%
紗,14,0.0365%,15,0.0033%
紛,13,0.0339%,15,0.0033%
絪,14,0.0365%,15,0.0033%
繕,15,0.0391%,15,0.0033%
茦,15,0.0391%,15,0.0033%
荷,15,0.0391%,15,0.0033%
营,15,0.0391%,15,0.0033%
蕭,15,0.0391%,15,0.0033%
躍,15,0.0391%,15,0.0033%
躡,15,0.0391%,15,0.0033%
輝,14,0.0365%,15,0.0033%
輪,14,0.0365%,15,0.0033%
遍,15,0.0391%,15,0.0033%
遼,15,0.0391%,15,0.0033%
銘,14,0.0365%,15,0.0033%
鑿,15,0.0391%,15,0.0033%
闍,15,0.0391%,15,0.0033%
阜,15,0.0391%,15,0.0033%
隴,15,0.0391%,15,0.0033%
頴,15,0.0391%,15,0.0033%
鴈,15,0.0391%,15,0.0033%
𡏧,15,0.0391%,15,0.0033%
𢮪,15,0.0391%,15,0.0033%
𢮿,15,0.0391%,15,0.0033%
𣻆,15,0.0391%,15,0.0033%
𤞻,15,0.0391%,15,0.0033%
𧻗,15,0.0391%,15,0.0033%
𨇒,15,0.0391%,15,0.0033%
𪧚,15,0.0391%,15,0.0033%
𫆧,15,0.0391%,15,0.0033%
𬷤,15,0.0391%,15,0.0033%
󱖮,13,0.0339%,15,0.0033%
㸔,13,0.0339%,14,0.0030%
会,13,0.0339%,14,0.0030%
侮,14,0.0365%,14,0.0030%
倡,14,0.0365%,14,0.0030%
刧,14,0.0365%,14,0.0030%
剌,14,0.0365%,14,0.0030%
卓,14,0.0365%,14,0.0030%
叱,14,0.0365%,14,0.0030%
哩,13,0.0339%,14,0.0030%
啫,12,0.0313%,14,0.0030%
喝,14,0.0365%,14,0.0030%
嗃,14,0.0365%,14,0.0030%
嗟,14,0.0365%,14,0.0030%
妨,14,0.0365%,14,0.0030%
島,14,0.0365%,14,0.0030%
崔,14,0.0365%,14,0.0030%
彊,12,0.0313%,14,0.0030%
彛,14,0.0365%,14,0.0030%
彪,13,0.0339%,14,0.0030%
徊,14,0.0365%,14,0.0030%
恕,14,0.0365%,14,0.0030%
惶,13,0.0339%,14,0.0030%
扛,14,0.0365%,14,0.0030%
报,14,0.0365%,14,0.0030%
捲,14,0.0365%,14,0.0030%
掘,14,0.0365%,14,0.0030%
搜,14,0.0365%,14,0.0030%
敺,13,0.0339%,14,0.0030%
暊,14,0.0365%,14,0.0030%
曄,14,0.0365%,14,0.0030%
棊,12,0.0313%,14,0.0030%
樛,13,0.0339%,14,0.0030%
涞,14,0.0365%,14,0.0030%
淋,14,0.0365%,14,0.0030%
淫,14,0.0365%,14,0.0030%
溝,14,0.0365%,14,0.0030%
潦,13,0.0339%,14,0.0030%
濕,13,0.0339%,14,0.0030%
濬,14,0.0365%,14,0.0030%
炳,13,0.0339%,14,0.0030%
焕,14,0.0365%,14,0.0030%
狃,14,0.0365%,14,0.0030%
皎,11,0.0287%,14,0.0030%
祔,14,0.0365%,14,0.0030%
競,14,0.0365%,14,0.0030%
耐,14,0.0365%,14,0.0030%
肩,13,0.0339%,14,0.0030%
胤,14,0.0365%,14,0.0030%
艦,12,0.0313%,14,0.0030%
葆,14,0.0365%,14,0.0030%
藻,13,0.0339%,14,0.0030%
褚,13,0.0339%,14,0.0030%
訖,14,0.0365%,14,0.0030%
評,14,0.0365%,14,0.0030%
談,14,0.0365%,14,0.0030%
謄,14,0.0365%,14,0.0030%
讖,14,0.0365%,14,0.0030%
賤,14,0.0365%,14,0.0030%
踵,14,0.0365%,14,0.0030%
过,14,0.0365%,14,0.0030%
逃,14,0.0365%,14,0.0030%
遽,14,0.0365%,14,0.0030%
針,14,0.0365%,14,0.0030%
鉞,14,0.0365%,14,0.0030%
陲,14,0.0365%,14,0.0030%
鞭,14,0.0365%,14,0.0030%
飾,13,0.0339%,14,0.0030%
饗,14,0.0365%,14,0.0030%
魔,14,0.0365%,14,0.0030%
𠬧,14,0.0365%,14,0.0030%
𠴍,14,0.0365%,14,0.0030%
𡃹,14,0.0365%,14,0.0030%
𢬭,14,0.0365%,14,0.0030%
𤂬,14,0.0365%,14,0.0030%
𤌋,14,0.0365%,14,0.0030%
𤒘,14,0.0365%,14,0.0030%
𤵺,14,0.0365%,14,0.0030%
𤼸,14,0.0365%,14,0.0030%
𦹳,14,0.0365%,14,0.0030%
𨆢,14,0.0365%,14,0.0030%
𫏾,14,0.0365%,14,0.0030%
𬙞,14,0.0365%,14,0.0030%
󰞽,14,0.0365%,14,0.0030%
󰟴,14,0.0365%,14,0.0030%
󱉁,14,0.0365%,14,0.0030%
㐱,13,0.0339%,13,0.0028%
为,13,0.0339%,13,0.0028%
书,13,0.0339%,13,0.0028%
佃,13,0.0339%,13,0.0028%
債,13,0.0339%,13,0.0028%
冕,12,0.0313%,13,0.0028%
刎,13,0.0339%,13,0.0028%
剪,13,0.0339%,13,0.0028%
咏,13,0.0339%,13,0.0028%
咭,11,0.0287%,13,0.0028%
哇,13,0.0339%,13,0.0028%
啉,13,0.0339%,13,0.0028%
團,13,0.0339%,13,0.0028%
埬,13,0.0339%,13,0.0028%
复,12,0.0313%,13,0.0028%
姜,12,0.0313%,13,0.0028%
宝,13,0.0339%,13,0.0028%
峒,13,0.0339%,13,0.0028%
峙,13,0.0339%,13,0.0028%
嵬,12,0.0313%,13,0.0028%
廬,13,0.0339%,13,0.0028%
扇,13,0.0339%,13,0.0028%
掉,13,0.0339%,13,0.0028%
揞,13,0.0339%,13,0.0028%
搏,13,0.0339%,13,0.0028%
摇,13,0.0339%,13,0.0028%
摸,13,0.0339%,13,0.0028%
攸,13,0.0339%,13,0.0028%
昧,13,0.0339%,13,0.0028%
暑,13,0.0339%,13,0.0028%
暮,13,0.0339%,13,0.0028%
架,13,0.0339%,13,0.0028%
梯,13,0.0339%,13,0.0028%
楨,11,0.0287%,13,0.0028%
榔,13,0.0339%,13,0.0028%
檄,12,0.0313%,13,0.0028%
檳,13,0.0339%,13,0.0028%
殁,13,0.0339%,13,0.0028%
溥,11,0.0287%,13,0.0028%
漫,13,0.0339%,13,0.0028%
猥,13,0.0339%,13,0.0028%
玩,13,0.0339%,13,0.0028%
瑰,11,0.0287%,13,0.0028%
瓚,12,0.0313%,13,0.0028%
畿,13,0.0339%,13,0.0028%
疊,13,0.0339%,13,0.0028%
着,12,0.0313%,13,0.0028%
禺,12,0.0313%,13,0.0028%
籠,13,0.0339%,13,0.0028%
絞,13,0.0339%,13,0.0028%
縛,13,0.0339%,13,0.0028%
纏,13,0.0339%,13,0.0028%
臧,13,0.0339%,13,0.0028%
荀,13,0.0339%,13,0.0028%
衞,13,0.0339%,13,0.0028%
襘,13,0.0339%,13,0.0028%
証,13,0.0339%,13,0.0028%
誼,13,0.0339%,13,0.0028%
賍,13,0.0339%,13,0.0028%
距,13,0.0339%,13,0.0028%
軫,13,0.0339%,13,0.0028%
迪,13,0.0339%,13,0.0028%
透,13,0.0339%,13,0.0028%
鎬,11,0.0287%,13,0.0028%
隕,13,0.0339%,13,0.0028%
顆,13,0.0339%,13,0.0028%
顒,12,0.0313%,13,0.0028%
鬱,12,0.0313%,13,0.0028%
鯨,13,0.0339%,13,0.0028%
鸞,13,0.0339%,13,0.0028%
𠽋,13,0.0339%,13,0.0028%
𤷍,13,0.0339%,13,0.0028%
𥊘,13,0.0339%,13,0.0028%
𦂛,13,0.0339%,13,0.0028%
𪽝,13,0.0339%,13,0.0028%
𫋻,13,0.0339%,13,0.0028%
𫨩,11,0.0287%,13,0.0028%
𬋟,13,0.0339%,13,0.0028%
𬟥,13,0.0339%,13,0.0028%
󰌎,13,0.0339%,13,0.0028%
󰥭,12,0.0313%,13,0.0028%
㭲,12,0.0313%,12,0.0026%
乖,12,0.0313%,12,0.0026%
侑,12,0.0313%,12,0.0026%
偶,12,0.0313%,12,0.0026%
僮,12,0.0313%,12,0.0026%
儈,12,0.0313%,12,0.0026%
儻,12,0.0313%,12,0.0026%
凉,12,0.0313%,12,0.0026%
刁,11,0.0287%,12,0.0026%
刷,12,0.0313%,12,0.0026%
势,12,0.0313%,12,0.0026%
嚕,10,0.0261%,12,0.0026%
壇,12,0.0313%,12,0.0026%
壞,12,0.0313%,12,0.0026%
夕,12,0.0313%,12,0.0026%
奚,12,0.0313%,12,0.0026%
妹,12,0.0313%,12,0.0026%
孛,12,0.0313%,12,0.0026%
幽,11,0.0287%,12,0.0026%
庞,12,0.0313%,12,0.0026%
彈,12,0.0313%,12,0.0026%
彌,12,0.0313%,12,0.0026%
徔,12,0.0313%,12,0.0026%
恬,12,0.0313%,12,0.0026%
惇,12,0.0313%,12,0.0026%
態,12,0.0313%,12,0.0026%
懼,12,0.0313%,12,0.0026%
懾,12,0.0313%,12,0.0026%
戶,12,0.0313%,12,0.0026%
拍,12,0.0313%,12,0.0026%
摩,12,0.0313%,12,0.0026%
撞,12,0.0313%,12,0.0026%
攅,12,0.0313%,12,0.0026%
敦,12,0.0313%,12,0.0026%
斧,12,0.0313%,12,0.0026%
暹,12,0.0313%,12,0.0026%
柩,12,0.0313%,12,0.0026%
梂,12,0.0313%,12,0.0026%
槐,12,0.0313%,12,0.0026%
檸,12,0.0313%,12,0.0026%
歌,12,0.0313%,12,0.0026%
殉,12,0.0313%,12,0.0026%
決,12,0.0313%,12,0.0026%
沁,12,0.0313%,12,0.0026%
浸,12,0.0313%,12,0.0026%
涯,12,0.0313%,12,0.0026%
涸,12,0.0313%,12,0.0026%
渙,10,0.0261%,12,0.0026%
溟,12,0.0313%,12,0.0026%
漨,12,0.0313%,12,0.0026%
濤,12,0.0313%,12,0.0026%
瀕,11,0.0287%,12,0.0026%
熊,12,0.0313%,12,0.0026%
珣,11,0.0287%,12,0.0026%
甌,12,0.0313%,12,0.0026%
眜,12,0.0313%,12,0.0026%
稔,12,0.0313%,12,0.0026%
竪,12,0.0313%,12,0.0026%
綽,12,0.0313%,12,0.0026%
縊,12,0.0313%,12,0.0026%
繩,12,0.0313%,12,0.0026%
苓,12,0.0313%,12,0.0026%
藁,12,0.0313%,12,0.0026%
虹,11,0.0287%,12,0.0026%
裏,12,0.0313%,12,0.0026%
襄,12,0.0313%,12,0.0026%
襜,12,0.0313%,12,0.0026%
詠,12,0.0313%,12,0.0026%
詢,11,0.0287%,12,0.0026%
贒,12,0.0313%,12,0.0026%
踏,12,0.0313%,12,0.0026%
蹕,12,0.0313%,12,0.0026%
軀,12,0.0313%,12,0.0026%
辜,12,0.0313%,12,0.0026%
迢,12,0.0313%,12,0.0026%
迭,12,0.0313%,12,0.0026%
遐,12,0.0313%,12,0.0026%
鋭,12,0.0313%,12,0.0026%
需,12,0.0313%,12,0.0026%
頻,12,0.0313%,12,0.0026%
鳶,12,0.0313%,12,0.0026%
鵝,9,0.0235%,12,0.0026%
𡁞,12,0.0313%,12,0.0026%
𢩽,12,0.0313%,12,0.0026%
𣾼,12,0.0313%,12,0.0026%
𤍶,12,0.0313%,12,0.0026%
𥰊,12,0.0313%,12,0.0026%
𧍋,12,0.0313%,12,0.0026%
𧥾,12,0.0313%,12,0.0026%
𧿨,12,0.0313%,12,0.0026%
𫗁,12,0.0313%,12,0.0026%
𫚳,12,0.0313%,12,0.0026%
𬁖,12,0.0313%,12,0.0026%
𬗢,12,0.0313%,12,0.0026%
󰱧,12,0.0313%,12,0.0026%
㖔,11,0.0287%,11,0.0024%
了,11,0.0287%,11,0.0024%
僻,11,0.0287%,11,0.0024%
兢,11,0.0287%,11,0.0024%
冥,10,0.0261%,11,0.0024%
叢,11,0.0287%,11,0.0024%
囊,11,0.0287%,11,0.0024%
墫,11,0.0287%,11,0.0024%
壯,11,0.0287%,11,0.0024%
奢,11,0.0287%,11,0.0024%
嬌,11,0.0287%,11,0.0024%
巖,10,0.0261%,11,0.0024%
帷,11,0.0287%,11,0.0024%
庙,11,0.0287%,11,0.0024%
影,11,0.0287%,11,0.0024%
徘,11,0.0287%,11,0.0024%
徹,11,0.0287%,11,0.0024%
忤,11,0.0287%,11,0.0024%
忿,11,0.0287%,11,0.0024%
悖,11,0.0287%,11,0.0024%
愆,11,0.0287%,11,0.0024%
慄,9,0.0235%,11,0.0024%
扱,11,0.0287%,11,0.0024%
扼,11,0.0287%,11,0.0024%
捛,11,0.0287%,11,0.0024%
揆,11,0.0287%,11,0.0024%
昨,11,0.0287%,11,0.0024%
昶,11,0.0287%,11,0.0024%
晴,11,0.0287%,11,0.0024%
暄,11,0.0287%,11,0.0024%
暭,11,0.0287%,11,0.0024%
朂,11,0.0287%,11,0.0024%
桀,11,0.0287%,11,0.0024%
桧,11,0.0287%,11,0.0024%
梨,11,0.0287%,11,0.0024%
棹,10,0.0261%,11,0.0024%
椰,11,0.0287%,11,0.0024%
楯,10,0.0261%,11,0.0024%
樸,11,0.0287%,11,0.0024%
泠,8,0.0209%,11,0.0024%
洛,11,0.0287%,11,0.0024%
湘,11,0.0287%,11,0.0024%
溋,11,0.0287%,11,0.0024%
滇,8,0.0209%,11,0.0024%
濛,11,0.0287%,11,0.0024%
瀋,11,0.0287%,11,0.0024%
烝,11,0.0287%,11,0.0024%
煥,11,0.0287%,11,0.0024%
爐,9,0.0235%,11,0.0024%
爕,11,0.0287%,11,0.0024%
版,11,0.0287%,11,0.0024%
猿,11,0.0287%,11,0.0024%
獵,11,0.0287%,11,0.0024%
現,11,0.0287%,11,0.0024%
璽,11,0.0287%,11,0.0024%
疎,11,0.0287%,11,0.0024%
矩,11,0.0287%,11,0.0024%
祇,11,0.0287%,11,0.0024%
种,11,0.0287%,11,0.0024%
笏,11,0.0287%,11,0.0024%
笞,10,0.0261%,11,0.0024%
篭,11,0.0287%,11,0.0024%
籌,11,0.0287%,11,0.0024%
耿,9,0.0235%,11,0.0024%
肖,11,0.0287%,11,0.0024%
般,11,0.0287%,11,0.0024%
蒸,11,0.0287%,11,0.0024%
虫,11,0.0287%,11,0.0024%
裝,11,0.0287%,11,0.0024%
覲,11,0.0287%,11,0.0024%
諄,7,0.0183%,11,0.0024%
謬,11,0.0287%,11,0.0024%
讞,11,0.0287%,11,0.0024%
豐,10,0.0261%,11,0.0024%
貸,10,0.0261%,11,0.0024%
賭,11,0.0287%,11,0.0024%
較,11,0.0287%,11,0.0024%
輩,11,0.0287%,11,0.0024%
轝,11,0.0287%,11,0.0024%
迨,11,0.0287%,11,0.0024%
這,11,0.0287%,11,0.0024%
逞,11,0.0287%,11,0.0024%
邇,11,0.0287%,11,0.0024%
酌,9,0.0235%,11,0.0024%
酷,11,0.0287%,11,0.0024%
醮,11,0.0287%,11,0.0024%
鉢,11,0.0287%,11,0.0024%
鋌,11,0.0287%,11,0.0024%
鐸,11,0.0287%,11,0.0024%
霆,11,0.0287%,11,0.0024%
韃,11,0.0287%,11,0.0024%
頃,11,0.0287%,11,0.0024%
餞,11,0.0287%,11,0.0024%
鴉,10,0.0261%,11,0.0024%
鵶,11,0.0287%,11,0.0024%
鷹,11,0.0287%,11,0.0024%
鸚,11,0.0287%,11,0.0024%
黷,11,0.0287%,11,0.0024%
鼓,11,0.0287%,11,0.0024%
齒,11,0.0287%,11,0.0024%
龔,11,0.0287%,11,0.0024%
𠺙,11,0.0287%,11,0.0024%
𠽄,11,0.0287%,11,0.0024%
𡮇,11,0.0287%,11,0.0024%
𡳪,11,0.0287%,11,0.0024%
𣋽,11,0.0287%,11,0.0024%
𣻕,11,0.0287%,11,0.0024%
𤗖,11,0.0287%,11,0.0024%
𥄮,11,0.0287%,11,0.0024%
𩆐,11,0.0287%,11,0.0024%
𪿒,11,0.0287%,11,0.0024%
𰦫,11,0.0287%,11,0.0024%
󰇏,11,0.0287%,11,0.0024%
󰇼,11,0.0287%,11,0.0024%
󰑾,11,0.0287%,11,0.0024%
󰓳,10,0.0261%,11,0.0024%
󰞹,11,0.0287%,11,0.0024%
󰟨,11,0.0287%,11,0.0024%
󰟭,11,0.0287%,11,0.0024%
󰡞,10,0.0261%,11,0.0024%
󰦭,11,0.0287%,11,0.0024%
󰱏,10,0.0261%,11,0.0024%
󱖺,10,0.0261%,11,0.0024%
伺,10,0.0261%,10,0.0022%
俄,10,0.0261%,10,0.0022%
冤,10,0.0261%,10,0.0022%
囯,10,0.0261%,10,0.0022%
塑,10,0.0261%,10,0.0022%
姊,10,0.0261%,10,0.0022%
娇,10,0.0261%,10,0.0022%
廪,9,0.0235%,10,0.0022%
弭,10,0.0261%,10,0.0022%
当,10,0.0261%,10,0.0022%
彘,9,0.0235%,10,0.0022%
彜,10,0.0261%,10,0.0022%
徭,10,0.0261%,10,0.0022%
忝,10,0.0261%,10,0.0022%
悟,10,0.0261%,10,0.0022%
悠,7,0.0183%,10,0.0022%
愍,10,0.0261%,10,0.0022%
慘,10,0.0261%,10,0.0022%
憫,10,0.0261%,10,0.0022%
扺,10,0.0261%,10,0.0022%
拂,7,0.0183%,10,0.0022%
拾,10,0.0261%,10,0.0022%
挼,9,0.0235%,10,0.0022%
捁,10,0.0261%,10,0.0022%
捻,10,0.0261%,10,0.0022%
